date,3D Printing,Apps,Camera Equipment,DIY Electronics,Fabrication Tools,Flight,Gadgets,Hardware,Makerspaces,Robots,Software,Sound,Space Exploration,Technology,Wearables,Web
20131213,83.33333333,100,93.75,100,88.88888889,100,100,41.14888628,100,97.56097561,21.71628722,100,100,29.03780069,0,100
20131213,83.33333333,100,93.75,100,88.88888889,100,100,41.14888628,100,97.56097561,21.71628722,100,100,29.01287554,0,100
20131214,83.33333333,100,93.75,100,88.88888889,100,100,41.0046729,100,97.56097561,21.71628722,100,100,29.01287554,0,100
20131215,78.94736842,100,93.75,100,88.88888889,100,100,40.95682614,100,97.56097561,21.71628722,100,100,28.96315338,0,100
20131215,78.94736842,100,93.75,100,88.88888889,100,100,41.1627907,100,97.56097561,21.71628722,100,100,28.96315338,0,100
20131216,78.94736842,100,93.75,100,88.88888889,100,100,41.1627907,100,97.56097561,21.71628722,100,100,28.93835616,0,100
20131216,78.94736842,100,93.75,100,88.88888889,100,100,41.1627907,100,97.56097561,21.71628722,100,100,28.99914457,0,100
20131217,78.94736842,100,93.75,100,88.88888889,100,100,41.2311266,100,97.56097561,21.71628722,100,100,28.99914457,0,100
20131218,78.94736842,100,93.75,100,88.88888889,100,100,41.08796296,100,97.56097561,21.71628722,100,100,28.97435897,0,100
20131218,78.94736842,100,93.75,100,88.88888889,100,100,41.15606936,100,97.56097561,21.71628722,100,100,28.97435897,0,100
20131219,78.94736842,100,93.75,100,88.88888889,100,100,41.15606936,100,97.56097561,21.67832168,100,100,28.97435897,0,100
20131219,78.94736842,100,93.75,100,88.88888889,100,100,41.15606936,100,97.56097561,21.64048866,100,100,28.97435897,0,100
20131219,78.94736842,100,93.75,100,88.88888889,100,100,41.15606936,100,97.61904762,21.64048866,100,100,29.03501281,0,100
20131220,78.94736842,100,93.75,100,88.88888889,100,100,41.15606936,100,97.61904762,21.64048866,100,100,29.01023891,0,100
20131220,78.94736842,100,93.75,100,88.88888889,100,100,41.06113033,100,97.61904762,21.60278746,100,100,28.96081772,0,100
20131220,78.94736842,100,93.75,100,88.88888889,100,100,41.26436782,100,97.61904762,21.60278746,100,100,29.0212766,0,100
20131221,78.94736842,100,93.75,100,88.88888889,100,100,41.21699196,100,97.61904762,21.60278746,100,100,29.0212766,0,100
20131221,78.94736842,100,93.75,100,88.88888889,100,100,41.16972477,100,97.61904762,21.60278746,100,100,28.99659864,0,100
20131221,78.94736842,100,93.75,100,88.88888889,100,100,41.30434783,100,97.61904762,21.60278746,100,100,29.05692438,0,100
20131222,78.94736842,100,93.75,100,88.88888889,100,100,41.30434783,100,97.61904762,21.60278746,100,100,29.03225806,0,100
20131222,78.94736842,100,93.75,100,88.88888889,100,100,41.30434783,100,97.61904762,21.60278746,100,100,29.00763359,0,100
20131222,78.94736842,100,93.75,100,88.88888889,100,100,41.30434783,100,97.6744186,21.60278746,100,100,29.00763359,0,100
20131223,78.94736842,100,93.75,100,88.88888889,100,100,41.25714286,100,97.6744186,21.60278746,100,100,29.00763359,0,100
20131223,78.94736842,100,88.23529412,100,88.88888889,100,100,41.21004566,100,97.6744186,21.60278746,100,100,28.93401015,0,100
20131223,78.94736842,100,88.23529412,100,88.88888889,100,100,41.21004566,100,97.6744186,21.60278746,100,100,28.93401015,0,100
20131224,78.94736842,100,88.23529412,100,88.88888889,100,100,41.21004566,100,97.6744186,21.60278746,100,100,28.90955199,0,100
20131224,78.94736842,100,88.23529412,100,88.88888889,100,100,41.27708096,100,97.6744186,21.60278746,100,100,28.96959459,0,100
20131225,78.94736842,100,88.23529412,100,88.88888889,100,100,41.23006834,100,97.6744186,21.60278746,100,100,28.96959459,0,100
20131225,78.94736842,100,88.23529412,100,88.88888889,100,100,41.23006834,100,97.6744186,21.60278746,100,100,28.94514768,0,100
20131225,78.94736842,100,88.23529412,100,88.88888889,100,100,41.23006834,100,97.6744186,21.60278746,100,100,29.00505902,0,100
20131226,78.94736842,100,88.23529412,100,88.88888889,100,100,41.23006834,100,97.6744186,21.52777778,100,100,29.00505902,0,100
20131226,78.94736842,100,88.23529412,100,88.88888889,100,100,41.18316268,100,97.6744186,21.49046794,100,100,28.98062342,0,100
20131226,78.94736842,100,88.23529412,100,88.88888889,100,100,41.25,100,97.6744186,21.49046794,100,100,28.98062342,0,100
20131227,78.94736842,100,88.23529412,100,88.88888889,100,100,41.25,100,97.6744186,21.4532872,100,100,28.95622896,0,100
20131227,78.94736842,100,88.23529412,100,88.88888889,100,100,41.20317821,100,97.6744186,21.4532872,100,100,28.93187553,0,100
20131227,78.94736842,100,88.23529412,100,88.88888889,100,100,41.20317821,100,97.6744186,21.4532872,100,100,29.05121746,0,100
20131228,78.94736842,100,88.23529412,100,88.88888889,100,100,41.20317821,100,97.6744186,21.4532872,100,100,29.02684564,0,100
20131228,78.94736842,100,88.23529412,100,88.88888889,100,100,41.20317821,100,97.6744186,21.4532872,100,100,29.00251467,0,100
20131228,78.94736842,100,88.23529412,100,88.88888889,100,100,41.20317821,100,97.6744186,21.4532872,100,100,29.06197655,0,100
20131229,78.94736842,100,88.23529412,100,88.88888889,100,100,41.20317821,100,97.6744186,21.4532872,100,100,29.0376569,0,100
20131229,78.94736842,100,88.23529412,100,88.88888889,100,100,41.15646259,100,97.6744186,21.41623489,100,100,29.0376569,0,100
20131230,78.94736842,100,88.23529412,100,88.88888889,100,100,41.06334842,100,97.6744186,21.37931034,100,100,29.0376569,0,100
20131230,78.94736842,100,88.23529412,100,88.88888889,100,100,41.1299435,100,97.6744186,21.37931034,100,100,29.0376569,0,100
20131231,78.94736842,100,88.23529412,100,88.88888889,100,100,41.1299435,100,97.6744186,21.30584192,100,100,28.98913952,0,100
20140101,78.94736842,100,88.23529412,100,88.88888889,100,100,41.03720406,100,97.6744186,21.26929674,100,100,28.96494157,0,100
20140101,78.94736842,100,88.23529412,100,88.88888889,100,100,41.16985377,100,97.6744186,21.26929674,100,100,28.96494157,0,100
20140102,78.94736842,100,88.23529412,100,88.88888889,100,100,41.16985377,100,97.6744186,21.26929674,100,100,28.94078399,0,100
20140102,78.94736842,100,88.23529412,100,88.88888889,100,100,41.12359551,100,97.6744186,21.23287671,100,100,28.91666667,0,100
20140103,78.94736842,100,88.23529412,100,88.88888889,100,100,41.07744108,100,97.6744186,21.23287671,100,100,28.89258951,0,100
20140103,78.94736842,100,88.23529412,100,88.88888889,100,100,41.14349776,100,97.6744186,21.36752137,100,100,28.89258951,0,100
20140104,78.94736842,100,88.23529412,100,88.88888889,100,100,41.09742441,100,97.6744186,21.36752137,100,100,28.86855241,0,100
20140104,78.94736842,100,88.23529412,100,88.88888889,100,100,41.00558659,100,97.6744186,21.36752137,100,100,28.84455528,0,100
20140104,80.95238095,100,88.23529412,100,88.88888889,100,100,41.07142857,100,97.6744186,21.36752137,100,100,28.84455528,0,100
20140105,80.95238095,100,88.23529412,100,88.88888889,100,100,40.93437152,100,97.6744186,21.36752137,100,100,28.82059801,0,100
20140105,80.95238095,100,88.23529412,100,88.88888889,100,100,40.93437152,100,97.6744186,21.36752137,100,100,28.82059801,0,100
20140106,80.95238095,100,88.23529412,100,88.88888889,100,100,41.1308204,100,97.6744186,21.36752137,100,100,28.87966805,0,100
